date,comment
2020. 4. 29.,반일운동하던 좌파들도 불매하던거 까먹고 쇼핑다닐겁니다 좌파는 출입금지! 시켜야
2020. 4. 29.,"문죄인과 대가리 텅텅빈 똘마니
찌질이들 다시한번 반일불매운동 
해보시지 총선  찜찜한데
근데 마스크 많이 안쓴것같은데"
2020. 4. 29.,"유니클로 옷, 가격대비 진짜 싸고 좋습니다. 착용감도 좋고. No제펜 뱃지달고 다니던 님들아~ 좀 부끄럽지? 일본제품 좋은 건 인정하네? 좃꾹님도 일제 펜 쓰는 것 알랑가 몰라~"
2020. 4. 29.,눈치보다 슬슬 내가 왜 참아야지 라고 생각했나보네
2020. 4. 29.,이러니 비웃을만도하죠;
2020. 4. 29.,좌빨 불매운동 하던 사람들 평생 일본 못가고 일본제품 평생 구입할수 없도록 만들어야한다
2020. 4. 29.,그쪽사람들 불리하면 선택적 불매 선동
2020. 4. 29.,탑텐가서 옷사면 호갱님 되겠더라
2020. 4. 29.,최고로 깔끔한 결론 내주셨네요!! 반일운동 할바엔 반중운동 한다!!!
2020. 4. 29.,마이너스 100이 안되니 마이너스 20이 의미없다는 극단적 논리는 미숙한 이분법적 사고방식처럼 보여. 혐한이슈가 경제적 손실과 비례한다는 사실을 명확히 인지시킨것으로 불매운동은 충분히 효과를 발휘한 거야
2020. 4. 29.,멋진말!
2020. 4. 29.,"애초에 뭣도모르고, 왜 불매운동하는지도 모르면서, 그저 남들하니까 따라하고... 아직도 반일운동 하는애들은 ㄹㅇ 머가리 깨야됨"
2020. 4. 29.,이런걸로 선동하는 ㅋㅋㅋ 대깨박 많아
2020. 4. 29.,애초애 말이 안되는 운동이죠 선택적 뷔폐식 불매
2020. 4. 29.,이번년도 1월에신림유니클로갔는대 사람겁나많턴대
2020. 4. 29.,"아니 시발
전 불매운동 선택적 아닌 진짜 제대로 
강경히 하는 사람인데
닌텐도 사고 ㅇㅈㄹ하는게 "
2020. 4. 29.,텅텅 비었다는사람들 손님 없는 시간대에 가봤나바요
2020. 4. 29.,이중에 대깨문도 분명 있을꺼다
2020. 4. 29.,반중불매운동을 해라 차라리
2020. 4. 29.,반중운동이나하지 반일운동은 뭐하러 하나 모르겠네요
